route_id,route_short_name,route_long_name,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag
14,14,Lorne Park,54,2,17040,85200,86280,18.93,19.23,43.1,43.5,58.0,64.0,52.0,27,27,1.0,04:44,23:40,6,10,16,11,7,4,0,0,36.5,32.5,57.0,40.0,53.0,53.0,1
46,46,Tenth Line,62,2,15300,91380,93060,21.13,21.6,41.22,44.0,48.0,50.0,60.0,30,32,0.94,04:15,25:23,5,10,18,10,8,11,0,0,45.0,41.0,44.0,48.0,44.0,40.0,1
4,4,North Service Road,55,2,16140,84840,87600,19.08,19.85,41.68,44.0,60.0,64.0,53.0,26,29,0.9,04:29,23:34,6,9,18,13,6,3,0,0,39.0,42.0,45.0,36.0,62.0,60.0,1
74,74,Explorer,33,2,18480,74520,75300,15.57,15.78,45.0,45.0,47.0,50.0,29.0,16,17,0.94,05:08,20:42,3,8,6,11,5,0,0,0,40.0,45.0,46.0,46.0,45.0,,1
30,30,Rexdale,48,2,16200,87720,89880,19.87,20.47,49.72,55.0,58.0,59.0,46.0,22,26,0.85,04:30,24:22,4,11,12,8,8,5,0,0,44.5,32.0,55.0,58.0,54.0,50.0,1
68,68,Terry Fox,34,2,18600,91080,92460,20.13,20.52,74.03,75.0,75.9,77.0,32.0,17,17,1.0,05:10,25:18,2,5,10,6,5,6,0,0,,70.0,75.0,75.0,74.0,75.0,1
315,315,Rick Hansen SS,3,2,28740,55260,56640,7.37,7.75,4.0,4.0,4.0,4.0,1.0,1,2,0.5,07:59,15:21,0,1,0,2,0,0,0,0,,,,4.0,,,0
302,302,Philip Pocock SS,2,1,51300,51720,54000,0.12,0.75,7.0,7.0,7.0,7.0,1.0,2,2,1.0,14:15,14:22,0,0,2,0,0,0,0,0,,,7.0,,,,0
135,135,Eglinton Express,54,2,21000,64800,68640,12.17,13.23,15.0,15.0,15.0,15.0,50.0,27,27,1.0,05:50,18:00,1,24,5,24,0,0,0,0,,15.0,15.0,15.0,,,0
70,70,Keaton,28,2,22200,66600,69360,12.33,13.1,16.92,15.0,20.0,21.0,26.0,13,15,0.87,06:10,18:30,0,11,4,13,0,0,0,0,,15.0,20.0,16.0,,,0
25,25,Traders Loop,21,1,21600,64680,65760,11.97,12.27,23.05,20.0,34.0,34.0,19.0,21,21,1.0,06:00,17:58,0,8,5,8,0,0,0,0,,20.0,20.0,20.0,,,0
71,71,Sheridan,8,2,26220,64200,67560,10.55,11.48,23.17,22.0,27.5,30.0,6.0,3,5,0.6,07:17,17:50,0,3,0,5,0,0,0,0,,24.5,,20.0,,,0
321,321,Stephen Lewis SS,5,2,28740,55500,57000,7.43,7.85,26.67,33.0,43.4,46.0,3.0,2,3,0.67,07:59,15:25,0,2,2,1,0,0,0,0,,33.0,1.0,46.0,,,0
24,24,Northwest,36,2,16800,65880,68340,13.63,14.32,39.94,35.0,37.0,213.0,33.0,17,19,0.89,04:40,18:18,4,10,10,12,0,0,0,0,34.0,35.0,35.0,36.0,,,0
313,313,Streetsville SS,3,2,27360,53040,54300,7.13,7.48,,,,,,1,2,0.5,07:36,14:44,0,1,2,0,0,0,0,0,,,,,,,0
307,307,Philip Pocock SS,2,2,25920,51720,53640,7.17,7.7,,,,,,1,1,1.0,07:12,14:22,0,1,1,0,0,0,0,0,,,,,,,0
312,312,Glenforest SS,2,2,28200,53700,55200,7.08,7.5,,,,,,1,1,1.0,07:50,14:55,0,1,1,0,0,0,0,0,,,,,,,0
314,314,Rick Hansen SS,2,2,29220,55260,56220,7.23,7.5,,,,,,1,1,1.0,08:07,15:21,0,1,0,1,0,0,0,0,,,,,,,0
304,304,Father Goetz SS,1,1,27780,27780,29100,0.0,0.37,,,,,,1,1,1.0,07:43,07:43,0,1,0,0,0,0,0,0,,,,,,,0
306,306,Streetsville SS,1,1,52740,52740,54120,0.0,0.38,,,,,,1,1,1.0,14:39,14:39,0,0,1,0,0,0,0,0,,,,,,,0
