route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trips,shape_path_km,shape_points,start_lat,start_lon,end_lat,end_lon,straight_line_km,directness_ratio
61,61,Mavis,1,610206,2,9.472450694979026,276,43.632022,-79.721964,43.593891,-79.646132,7.432935689547843,0.7846898262017612
66,66,McLaughlin,0,660074,100,11.518303222705944,291,43.593709,-79.645835,43.656832,-79.741267,10.405255113448888,0.90336700747182
66,66,McLaughlin,1,660071,102,11.44672479362466,231,43.656832,-79.741267,43.594321,-79.646566,10.315891316774026,0.9012089923328583
68,68,Terry Fox,0,680034,17,9.990236737489381,286,43.594795,-79.646627,43.598359,-79.713058,5.364275983389932,0.5369518385144909
68,68,Terry Fox,1,680036,17,10.557788996888744,370,43.598359,-79.713058,43.594321,-79.646566,5.373343214527149,0.5089458802511216
70,70,Keaton,0,700069,15,24.18600311244599,865,43.618702,-79.671272,43.635804,-79.538386,10.863447780646116,0.44916258921077545
70,70,Keaton,1,700072,13,24.79861209835362,718,43.635513,-79.538189,43.62004,-79.673833,11.05233791369852,0.4456837289870865
71,71,Sheridan,0,710054,5,24.515889089046134,694,43.515528,-79.67267,43.635804,-79.538386,17.201300602510468,0.7016388653102582
71,71,Sheridan,1,710058,3,25.58774157538274,781,43.635513,-79.538189,43.515711,-79.672349,17.154064092404386,0.6704016468928168
73,73,Kamato,0,730025,17,6.6251932580378305,182,43.629905,-79.614789,43.644057,-79.638326,2.462533688230662,0.3716923555766561
73,73,Kamato,1,730026,17,4.368791807597877,90,43.644057,-79.638326,43.629857,-79.614849,2.462241516063959,0.563597814796716
74,74,Explorer,0,740028,16,7.998249356962532,215,43.629905,-79.614789,43.663296,-79.592269,4.131475817623952,0.5165475134914959
74,74,Explorer,1,740029,17,6.827220828714262,188,43.663296,-79.592269,43.629857,-79.614849,4.13839061644729,0.6061603572337726
90,90,Terragar-Copenhagen Loop,0,900058,15,6.158592084658172,380,43.58362,-79.758926,43.5838,-79.75894,0.02004685490848641,0.0032551035419971473
90,90,Terragar-Copenhagen Loop,0,900059,8,7.292126020745791,367,43.58362,-79.758926,43.5838,-79.75894,0.02004685490848641,0.0027491097728500513
90,90,Terragar-Copenhagen Loop,0,900057,7,7.292135150389937,369,43.58362,-79.758926,43.5838,-79.75894,0.02004685490848641,0.002749106331005732
90,90,Terragar-Copenhagen Loop,1,900060,33,7.85334111715367,217,43.58362,-79.758926,43.5838,-79.75894,0.02004685490848641,0.002552653018560348
101,101,Dundas Express,0,1010269,69,20.776376184332793,486,43.51804,-79.690589,43.635552,-79.538701,17.900973436730403,0.8616022966617877
101,101,Dundas Express,1,1010268,68,21.40465316506326,534,43.635552,-79.538701,43.51804,-79.690589,17.900973436730403,0.8363122400856478
103,103,Hurontario Express,0,1030041,52,14.829150857678375,186,43.572124,-79.609912,43.664893,-79.734477,14.38603067883413,0.9701183039341189
103,103,Hurontario Express,1,1030042,52,14.98047583800733,224,43.666411,-79.733672,43.572124,-79.609912,14.462739763771376,0.9654392771074473
107,107,Malton Express,0,1070220,73,24.901186621889433,793,43.594795,-79.646627,43.72924,-79.605559,15.31028171555589,0.6148414510534754
107,107,Malton Express,1,1070221,74,25.462298797196677,830,43.72924,-79.605559,43.594321,-79.646566,15.360699107274334,0.6032722822719173
108,108,Financial Express,0,1080047,13,30.875065321662255,969,43.635634,-79.538048,43.60893,-79.727852,15.56405437723437,0.5040978606874226
108,108,Financial Express,1,1080048,13,32.07633047403822,1081,43.608114,-79.729159,43.635804,-79.538386,15.66189341017922,0.4882694865254479
109,109,Meadowvale Express,0,1090148,82,35.195061157273386,882,43.635109,-79.538655,43.5838,-79.75894,18.630590303180593,0.5293524060074096
109,109,Meadowvale Express,1,1090149,80,34.80120656884851,918,43.583869,-79.758894,43.635109,-79.538655,18.624706480636913,0.535174159659981
110,110,University Express,0,1100152,51,18.83198565077257,664,43.51263,-79.633004,43.593841,-79.647667,9.10724699471628,0.48360524288858847
110,110,University Express,0,1100155,8,9.857444826722686,183,43.543167,-79.683607,43.593841,-79.647667,6.33514812225286,0.6426764981812343
110,110,University Express,1,1100154,52,21.96637536932317,974,43.593841,-79.647667,43.51263,-79.633004,9.10724699471628,0.4145994430849469
110,110,University Express,1,1100147,7,11.662386612745104,278,43.593841,-79.647667,43.543167,-79.683607,6.33514812225286,0.543211979898657
126,126,Burnhamthorpe Express,0,1260014,25,19.269752201910247,401,43.547802,-79.66385,43.635804,-79.538386,14.065926568341494,0.7299484923810858
