route_id,route_short_name,route_long_name,direction_id,trips,first_departure_seconds,last_departure_seconds,first_arrival_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,first_departure,last_departure,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations
135,135,Eglinton Express,1,27,21900,64800,25740,68640,11.916666666666666,12.983333333333333,06:05,18:00,15.0,15.0,15.0,15.0,25.0
302,302,Philip Pocock SS,1,2,51300,51720,53580,54000,0.11666666666666667,0.75,14:15,14:22,7.0,7.0,7.0,7.0,1.0
304,304,Father Goetz SS,1,1,27780,27780,29100,29100,0.0,0.36666666666666664,07:43,07:43,,,,,
306,306,Streetsville SS,1,1,52740,52740,54120,54120,0.0,0.38333333333333336,14:39,14:39,,,,,
307,307,Philip Pocock SS,0,1,51720,51720,53640,53640,0.0,0.5333333333333333,14:22,14:22,,,,,
307,307,Philip Pocock SS,1,1,25920,25920,27840,27840,0.0,0.5333333333333333,07:12,07:12,,,,,
312,312,Glenforest SS,0,1,28200,28200,29700,29700,0.0,0.4166666666666667,07:50,07:50,,,,,
312,312,Glenforest SS,1,1,53700,53700,55200,55200,0.0,0.4166666666666667,14:55,14:55,,,,,
313,313,Streetsville SS,0,2,53040,53040,54300,54300,0.0,0.35,14:44,14:44,,,,,
313,313,Streetsville SS,1,1,27360,27360,28920,28920,0.0,0.43333333333333335,07:36,07:36,,,,,
314,314,Rick Hansen SS,0,1,55260,55260,56220,56220,0.0,0.26666666666666666,15:21,15:21,,,,,
314,314,Rick Hansen SS,1,1,29220,29220,30120,30120,0.0,0.25,08:07,08:07,,,,,
315,315,Rick Hansen SS,0,1,28740,28740,30180,30180,0.0,0.4,07:59,07:59,,,,,
315,315,Rick Hansen SS,1,2,55020,55260,56400,56640,0.06666666666666667,0.45,15:17,15:21,4.0,4.0,4.0,4.0,1.0
321,321,Stephen Lewis SS,0,2,28740,30720,29880,31860,0.55,0.8666666666666667,07:59,08:32,33.0,33.0,33.0,33.0,1.0
321,321,Stephen Lewis SS,1,3,52680,55500,54240,57000,0.7833333333333333,1.2,14:38,15:25,23.5,23.5,41.5,46.0,2.0
