route_id,route_short_name,route_long_name,scheduled_trips_geometry,directions_geometry,unique_shapes,avg_shape_path_km,median_shape_path_km,max_shape_path_km,avg_straight_line_km,avg_directness_ratio,unique_stops,total_stop_visits,avg_stops_per_trip,stops_per_km,scheduled_trips_speed,directions_speed,avg_trip_distance_km,median_trip_distance_km,avg_duration_min,median_duration_min,p10_duration_min,p90_duration_min,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,p10_scheduled_speed_kmh,p90_scheduled_speed_kmh,min_scheduled_speed_kmh,max_scheduled_speed_kmh,avg_stop_count,duration_spread_min,speed_spread_kmh,share_trips_under_15_kmh,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag,loop_or_circulator_flag,directness_ratio_for_scoring,speed_score,headway_score,trip_volume_score,frequency_score,service_span_score,directness_score,stop_spacing_efficiency_score,directional_balance_score,all_day_service_score,final_efficiency_score,efficiency_rank,score_band,service_importance_score,improvement_need_score,advocacy_priority_score,advocacy_priority_rank
25,25,Traders Loop,21.0,1.0,1.0,7.689,7.689,7.689,0.0,0.0,25,546,26.0,3.251,21,1,7.69,7.69,19.43,20.0,18.0,20.0,23.81,23.07,23.07,25.63,21.97,27.14,26.0,2.0,2.56,0.0,21,1,21600,64680,65760,11.97,12.27,23.05,20.0,34.0,34.0,19.0,21,21,1.0,06:00,17:58,0,8,5,8,0,0,0,0,,20.0,20.0,20.0,,,0,1,,78.78787878787878,61.833333333333336,18.181818181818183,48.737878787878785,16.666666666666664,50.0,82.81818181818181,81.06060606060606,0,58.27,24,moderate,18.181818181818183,41.73,32.31,65
103,103,Hurontario Express,104.0,2.0,2.0,14.905,14.905,14.98,14.424,0.968,35,1872,18.0,2.348,104,2,14.9,14.9,51.65,54.0,39.0,62.0,17.8,16.64,14.39,22.98,13.9,27.24,18.0,23.0,8.58,0.17,104,2,15000,89820,91800,20.78,21.33,24.15,24.0,31.8,55.0,102.0,52,52,1.0,04:10,24:57,9,21,26,26,13,9,0,0,25.0,15.0,28.0,16.0,28.0,42.0,1,0,0.968,12.121212121212121,48.5,70.45454545454545,55.08636363636363,65.9090909090909,100.0,84.33333333333334,81.06060606060606,100,58.23,25,moderate,70.45454545454545,41.77,53.24,23
44,44,Mississauga Road,102.0,2.0,2.0,14.963,14.963,15.182,8.635,0.577,94,4845,47.5,6.282,102,2,14.96,14.96,38.28,39.0,33.0,41.0,23.58,22.77,21.58,26.81,21.58,28.47,47.5,8.0,5.23,0.0,102,2,17400,91500,93420,20.58,21.12,24.25,25.0,40.5,50.0,100.0,51,51,1.0,04:50,25:25,6,17,32,24,13,10,0,0,22.0,16.0,25.0,16.0,26.0,48.0,1,0,0.577,75.0,42.666666666666664,65.15151515151516,49.41212121212121,59.09090909090909,47.58064516129033,25.24242424242425,81.06060606060606,100,57.73,26,moderate,65.15151515151516,42.27,51.42,34
45,45,Winston Churchill,103.0,2.0,4.0,19.421,19.047,19.949,12.825,0.661,116,4637,45.019,5.973,103,2,19.42,19.86,53.81,54.0,45.0,62.0,21.96,21.66,18.79,26.57,17.65,31.36,45.02,17.0,7.78,0.0,103,2,16200,86400,88680,19.5,20.13,22.42,20.0,32.0,39.0,101.0,51,52,0.98,04:30,24:00,7,19,27,28,14,8,0,0,30.0,20.0,30.0,18.0,22.0,30.0,1,0,0.661,60.60606060606061,61.833333333333336,68.18181818181817,63.737878787878785,50.0,61.29032258064516,32.81818181818183,48.484848484848484,100,55.91,27,moderate,68.18181818181817,44.09,53.73,22
9,9,Rathburn,98.0,2.0,2.0,16.503,16.503,16.507,9.741,0.59,87,4361,44.5,5.272,98,2,16.5,16.5,48.88,50.0,39.7,55.0,20.57,19.8,18.0,24.94,17.37,27.51,44.5,15.3,6.94,0.0,98,2,15180,94500,96720,22.03,22.65,26.62,27.0,30.0,46.0,96.0,49,49,1.0,04:13,26:15,9,15,27,18,13,16,0,0,20.0,22.0,28.0,26.5,27.0,27.0,1,0,0.59,43.93939393939394,36.0,60.60606060606061,43.38181818181818,83.33333333333334,50.0,58.57575757575758,81.06060606060606,100,55.79,28,moderate,60.60606060606061,44.21,50.77,36
71,71,Sheridan,8.0,2.0,2.0,24.918,25.052,25.588,17.184,0.69,40,197,24.625,1.605,8,2,24.92,24.52,53.0,56.0,46.7,58.0,28.53,26.27,25.36,32.88,25.36,33.38,24.62,11.3,7.52,0.0,8,2,26220,64200,67560,10.55,11.48,23.17,22.0,27.5,30.0,6.0,3,5,0.6,07:17,17:50,0,3,0,5,0,0,0,0,,24.5,,20.0,,,0,0,0.69,92.42424242424242,54.333333333333336,15.151515151515152,42.57878787878788,15.151515151515152,66.12903225806451,90.39393939393939,4.545454545454546,0,55.44,29,moderate,15.151515151515152,44.56,32.8,64
18,18,Derry,90.0,2.0,2.0,15.625,15.625,16.163,11.017,0.706,66,3060,34.0,4.224,90,2,15.63,15.63,48.59,49.0,42.0,54.0,19.42,19.54,17.32,21.55,16.76,22.63,34.0,12.0,4.24,0.0,90,2,17100,70680,73260,14.88,15.6,19.15,15.0,15.0,208.0,88.0,45,45,1.0,04:45,19:38,8,24,23,32,3,0,0,0,14.0,15.0,15.0,15.0,15.0,,1,0,0.706,27.27272727272727,77.66666666666667,54.54545454545454,70.73030303030302,28.78787878787879,69.35483870967742,69.18181818181819,81.06060606060606,100,54.25,30,low,54.54545454545454,45.75,49.27,41
70,70,Keaton,28.0,2.0,2.0,24.47,24.492,24.799,10.951,0.448,40,840,30.0,1.635,28,2,24.47,24.19,46.25,46.5,37.7,55.3,32.43,31.21,26.24,39.47,25.91,40.21,30.0,17.6,13.23,0.0,28,2,22200,66600,69360,12.33,13.1,16.92,15.0,20.0,21.0,26.0,13,15,0.87,06:10,18:30,0,11,4,13,0,0,0,0,,15.0,20.0,16.0,,,0,0,0.448,95.45454545454545,77.66666666666667,21.21212121212121,60.730303030303034,18.181818181818183,17.741935483870968,88.87878787878788,9.090909090909092,0,54.23,31,low,21.21212121212121,45.77,35.95,61
13,13,Glen Erin,102.0,2.0,4.0,17.105,15.203,17.236,12.717,0.743,101,5325,52.206,5.905,102,2,17.1,17.23,52.18,52.0,41.0,62.0,20.07,19.69,16.41,25.15,15.67,27.21,52.21,21.0,8.73,0.0,102,2,15900,96420,98700,22.37,23.0,26.28,24.0,31.8,52.0,100.0,50,52,0.96,04:25,26:47,9,17,30,20,14,12,0,0,24.0,26.0,25.0,24.0,26.0,50.0,1,0,0.743,36.36363636363637,48.5,65.15151515151516,53.49545454545454,86.36363636363636,79.03225806451613,35.848484848484844,28.78787878787879,100,53.74,32,low,65.15151515151516,46.26,53.82,21
39,39,Britannia,96.0,2.0,5.0,27.356,27.267,27.938,16.133,0.591,160,7271,75.74,5.849,96,2,27.36,27.71,77.2,81.0,63.0,90.0,21.65,20.52,18.35,26.4,17.82,29.93,75.74,27.0,8.05,0.0,96,2,16380,90840,94500,20.68,21.7,26.02,22.0,38.0,42.0,94.0,47,49,0.96,04:33,25:14,10,17,23,24,11,11,0,0,17.0,20.0,35.0,21.0,33.0,38.0,1,0,0.591,54.54545454545454,54.333333333333336,58.333333333333336,55.53333333333333,72.72727272727273,52.41935483870967,38.878787878787875,28.78787878787879,100,53.06,33,low,58.333333333333336,46.94,51.5,33
