shape_id_text,shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
10392,10392,360001,-79.612984,43.58321
10392,10392,360002,-79.61263,43.583511
10392,10392,360003,-79.612429,43.583689
10392,10392,360004,-79.611139,43.584802
10392,10392,360005,-79.61067,43.585209
10392,10392,370001,-79.61067,43.585209
10392,10392,370002,-79.609755,43.586004
10392,10392,370003,-79.608121,43.587461
10392,10392,380001,-79.608121,43.587461
10392,10392,380002,-79.60794,43.587621
10392,10392,380003,-79.607096,43.588366
10392,10392,380004,-79.606793,43.588633
10392,10392,390001,-79.606793,43.588633
10392,10392,390002,-79.606621,43.588786
10392,10392,390003,-79.60609,43.589261
10392,10392,390004,-79.604676,43.590523
10392,10392,390005,-79.60339,43.591659
10392,10392,390006,-79.603151,43.591871
10392,10392,390007,-79.601245,43.593565
10392,10392,400001,-79.601245,43.593565
10392,10392,400002,-79.601026,43.59376
10392,10392,400003,-79.60007,43.594604
10392,10392,400004,-79.599689,43.594947
10392,10392,410001,-79.599689,43.594947
10392,10392,410002,-79.597983,43.596482
10392,10392,410003,-79.596961,43.59742
10392,10392,420001,-79.596961,43.59742
10392,10392,420002,-79.596721,43.597638
10392,10392,420003,-79.595395,43.598847
10392,10392,430001,-79.595395,43.598847
10392,10392,430002,-79.595316,43.598918
10392,10392,430003,-79.593654,43.600432
10392,10392,440001,-79.593654,43.600432
10392,10392,440002,-79.593538,43.600538
10392,10392,440003,-79.592129,43.601851
10392,10392,440004,-79.590731,43.603149
10392,10392,450001,-79.590731,43.603149
10392,10392,450002,-79.590462,43.603399
10392,10392,450003,-79.589382,43.604381
10392,10392,450004,-79.588555,43.605124
10392,10392,460001,-79.588555,43.605124
10392,10392,460002,-79.58822,43.605425
10392,10392,460003,-79.586838,43.606674
10392,10392,470001,-79.586838,43.606674
10392,10392,470002,-79.586572,43.606914
10392,10392,470003,-79.58436,43.608881
10392,10392,480001,-79.58436,43.608881
10392,10392,480002,-79.583881,43.609306
10392,10392,480003,-79.583707,43.609459
10392,10392,490001,-79.583707,43.609459
10392,10392,490002,-79.581633,43.611271
10392,10392,500001,-79.581633,43.611271
10392,10392,500002,-79.581458,43.611423
10392,10392,500003,-79.580201,43.612582
10392,10392,510001,-79.580201,43.612582
10392,10392,510002,-79.580094,43.612681
10392,10392,510003,-79.579294,43.613425
10392,10392,510004,-79.578423,43.614249
10392,10392,520001,-79.578423,43.614249
10392,10392,520002,-79.578219,43.614442
10392,10392,520003,-79.577576,43.615057
10392,10392,520004,-79.576513,43.616045
10392,10392,530001,-79.576513,43.616045
10392,10392,530002,-79.576338,43.616209
10392,10392,530003,-79.57616,43.616374
10392,10392,530004,-79.575051,43.617449
10392,10392,530005,-79.573733,43.618687
10392,10392,540001,-79.573733,43.618687
10392,10392,540002,-79.573717,43.618701
10392,10392,540003,-79.573364,43.619032
10392,10392,540004,-79.572264,43.620079
10392,10392,540005,-79.571606,43.620717
10392,10392,540006,-79.570638,43.621677
10392,10392,540007,-79.570288,43.622003
10392,10392,550001,-79.570288,43.622003
10392,10392,550002,-79.569908,43.622358
10392,10392,550003,-79.567942,43.624225
10392,10392,550004,-79.567516,43.624633
10392,10392,560001,-79.567516,43.624633
10392,10392,560002,-79.567321,43.624821
10392,10392,560003,-79.566905,43.625224
10392,10392,560004,-79.566577,43.625536
10392,10392,560005,-79.566456,43.625653
10392,10392,560006,-79.566325,43.625769
10392,10392,560007,-79.566243,43.625836
10392,10392,560008,-79.566118,43.625937
10392,10392,560009,-79.56605,43.625989
10392,10392,560010,-79.565929,43.62608
10392,10392,560011,-79.56581,43.626163
10392,10392,560012,-79.565657,43.62626
10392,10392,560013,-79.565625,43.626279
10392,10392,570001,-79.565625,43.626279
10392,10392,570002,-79.56556,43.62632
