route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
48,48,Erin Mills,early morning,38.6,45.0,45.0,5
48,48,Erin Mills,AM peak,21.75,22.0,24.0,16
48,48,Erin Mills,midday,27.40740740740741,28.0,30.0,27
48,48,Erin Mills,PM peak,26.0,24.0,31.60000000000001,18
48,48,Erin Mills,evening,37.333333333333336,38.0,40.0,9
48,48,Erin Mills,late night,42.0,45.0,45.0,10
48,48,Erin Mills,other,,,,0
48,48,Erin Mills,unknown,,,,0
49,49,McDowell,early morning,,,,0
49,49,McDowell,AM peak,19.3125,15.5,31.5,16
49,49,McDowell,midday,45.875,46.0,48.0,16
49,49,McDowell,PM peak,32.642857142857146,36.0,47.7,14
49,49,McDowell,evening,39.0,38.5,42.8,4
49,49,McDowell,late night,,,,0
49,49,McDowell,other,,,,0
49,49,McDowell,unknown,,,,0
51,51,Tomken,early morning,14.9,15.5,19.1,10
51,51,Tomken,AM peak,13.807692307692308,14.0,15.0,26
51,51,Tomken,midday,21.235294117647058,25.0,30.0,34
51,51,Tomken,PM peak,13.371428571428572,13.0,14.200000000000003,35
51,51,Tomken,evening,32.81818181818182,26.0,52.0,11
51,51,Tomken,late night,48.4,48.0,50.2,10
51,51,Tomken,other,,,,0
51,51,Tomken,unknown,,,,0
53,53,Kennedy,early morning,19.75,18.5,22.5,4
53,53,Kennedy,AM peak,21.75,22.0,24.0,16
53,53,Kennedy,midday,30.25,34.0,36.8,24
53,53,Kennedy,PM peak,21.130434782608695,20.0,22.0,23
53,53,Kennedy,evening,44.57142857142857,48.0,50.0,7
53,53,Kennedy,late night,44.285714285714285,44.0,46.0,7
53,53,Kennedy,other,,,,0
53,53,Kennedy,unknown,,,,0
57,57,Courtneypark,early morning,14.545454545454545,13.0,19.0,11
57,57,Courtneypark,AM peak,12.758620689655173,12.0,14.0,29
57,57,Courtneypark,midday,19.97222222222222,24.0,26.0,36
57,57,Courtneypark,PM peak,14.0,13.0,18.0,33
57,57,Courtneypark,evening,20.4,20.0,23.2,5
57,57,Courtneypark,late night,,,,0
57,57,Courtneypark,other,,,,0
57,57,Courtneypark,unknown,,,,0
61,61,Mavis,early morning,16.692307692307693,16.0,20.0,13
61,61,Mavis,AM peak,13.73076923076923,14.0,15.0,26
61,61,Mavis,midday,13.76923076923077,14.0,15.0,52
