stop_id,stop_code,stop_name,stop_lat,stop_lon
0295,295.0,Lakeshore Rd At Ibar Way,43.536471,-79.602089
0296,296.0,Lakeshore Rd At Balboa Dr,43.538488,-79.599901
0298,298.0,Erin Mills Pky At Mcfarren Blvd,43.567691,-79.718375
0299,299.0,Erin Mills Pky At Banfield Rd,43.567362,-79.718717
0302,302.0,Elizabeth St At Lakeshore Rd,43.553118,-79.584384
0303,303.0,Front St At John St,43.550597,-79.588581
0304,304.0,Hurontario St North Of Mineola Rd,43.563214,-79.59263
0305,305.0,Hurontario St South Of Indian Valley Trail,43.562732,-79.592257
0306,306.0,Front St At Park St,43.550804,-79.590284
0307,307.0,Tranmere Dr At 7875 Tranmere Dr,43.680102,-79.67229
0308,308.0,Tranmere Dr West Of Telford Way,43.680652,-79.673109
0309,309.0,Dixie Rd South Of Mid-Way Blvd,43.666368,-79.662707
0310,310.0,Bloor St At Green Lanes,43.644202,-79.526089
0311,311.0,Elizabeth St At High St,43.553762,-79.585508
0313,313.0,Erin Centre Blvd At John Fraser Secondary School,43.559761,-79.715411
0314,314.0,Port Credit Go Station Platform 7,43.555443,-79.587499
0320,320.0,Winston Churchill Blvd At North Sheridan Way,43.513313,-79.66842
0322,322.0,Eglinton Ave At Albina Way,43.610992,-79.648073
0323,323.0,Lakeshore Rd At St Lawrence Dr,43.555048,-79.581801
0324,324.0,Hurontario St At Inglewood Dr,43.55943,-79.587307
0325,325.0,Lakeshore Rd At Stavebank Rd,43.551913,-79.585254
0326,326.0,Lakeshore Rd East Of Elizabeth St,43.553361,-79.583661
0327,327.0,Derry Rd At Torbram Rd,43.693887,-79.653779
0328,328.0,Derry Rd At Bramalea Rd,43.685479,-79.663124
0329,329.0,Hurontario St At Pinetree Way,43.566983,-79.598176
0330,330.0,Hurontario St At Hampshire Cres,43.565522,-79.595808
0331,331.0,Hurontario St At Indian Valley Trail,43.564509,-79.594729
0332,332.0,Hurontario St At Pinewood Trail,43.564478,-79.594408
0333,333.0,Hurontario St At Mineola Rd,43.561387,-79.590493
0334,334.0,Hurontario St At Mineola Rd,43.561618,-79.590277
0335,335.0,Hurontario St At Inglewood Dr,43.559334,-79.587557
0336,336.0,Hurontario St At Park St,43.556737,-79.583606
0337,337.0,Hurontario St At Park St,43.556475,-79.583575
0338,338.0,Winston Churchill Blvd At Upper Middle Rd,43.513486,-79.669241
0339,339.0,Hurontario St At Lakeshore Rd,43.555422,-79.582139
0340,340.0,Eglinton Ave At Forum Dr,43.611584,-79.647849
0341,341.0,Ann St At Park St,43.556118,-79.584537
0342,342.0,Port Credit Go Station Platform 6,43.555514,-79.587411
0344,344.0,Port Credit Go Station Platform 5,43.555683,-79.587259
0345,345.0,Elizabeth St At Park St,43.554398,-79.586719
0346,346.0,Winston Churchill Blvd At Aquitaine Ave,43.582313,-79.763237
0348,348.0,Port Credit Go Station Platform 8,43.555319,-79.587626
0349,349.0,Burnhamthorpe Rd East Of Glen Erin Dr,43.543465,-79.689305
0350,350.0,Burnhamthorpe Rd At South Common Crt,43.544066,-79.687509
