route_id,route_short_name,route_long_name,service_period,trips
45,45,Winston Churchill,unknown,0
46,46,Tenth Line,early morning,5
46,46,Tenth Line,AM peak,10
46,46,Tenth Line,midday,18
46,46,Tenth Line,PM peak,10
46,46,Tenth Line,evening,8
46,46,Tenth Line,late night,11
46,46,Tenth Line,other,0
46,46,Tenth Line,unknown,0
48,48,Erin Mills,early morning,7
48,48,Erin Mills,AM peak,16
48,48,Erin Mills,midday,27
48,48,Erin Mills,PM peak,18
48,48,Erin Mills,evening,9
48,48,Erin Mills,late night,10
48,48,Erin Mills,other,0
48,48,Erin Mills,unknown,0
49,49,McDowell,early morning,1
49,49,McDowell,AM peak,17
49,49,McDowell,midday,16
49,49,McDowell,PM peak,14
49,49,McDowell,evening,4
49,49,McDowell,late night,0
49,49,McDowell,other,0
49,49,McDowell,unknown,0
51,51,Tomken,early morning,12
51,51,Tomken,AM peak,26
51,51,Tomken,midday,35
51,51,Tomken,PM peak,35
51,51,Tomken,evening,11
51,51,Tomken,late night,10
51,51,Tomken,other,0
51,51,Tomken,unknown,0
53,53,Kennedy,early morning,6
53,53,Kennedy,AM peak,16
53,53,Kennedy,midday,24
53,53,Kennedy,PM peak,23
53,53,Kennedy,evening,7
53,53,Kennedy,late night,7
53,53,Kennedy,other,0
53,53,Kennedy,unknown,0
57,57,Courtneypark,early morning,13
57,57,Courtneypark,AM peak,29
57,57,Courtneypark,midday,36
57,57,Courtneypark,PM peak,33
57,57,Courtneypark,evening,5
57,57,Courtneypark,late night,0
57,57,Courtneypark,other,0
57,57,Courtneypark,unknown,0
61,61,Mavis,early morning,15
61,61,Mavis,AM peak,26
61,61,Mavis,midday,52
61,61,Mavis,PM peak,35
61,61,Mavis,evening,28
61,61,Mavis,late night,33
61,61,Mavis,other,0
61,61,Mavis,unknown,0
66,66,McLaughlin,early morning,13
66,66,McLaughlin,AM peak,32
66,66,McLaughlin,midday,63
66,66,McLaughlin,PM peak,45
66,66,McLaughlin,evening,26
66,66,McLaughlin,late night,23
