shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10393,43.636998,-79.539343,10009,0.252
10393,43.636998,-79.539343,20001,0.252
10393,43.637388,-79.539005,20002,0.303
10393,43.638081,-79.538423,20003,0.394
10393,43.638544,-79.538019,20004,0.455
10393,43.638630,-79.538287,20005,0.478
10393,43.638683,-79.538423,20006,0.491
10393,43.638754,-79.538643,20007,0.510
10393,43.638754,-79.538643,30001,0.510
10393,43.638845,-79.538925,30002,0.535
10393,43.638899,-79.539039,30003,0.546
10393,43.638974,-79.539156,30004,0.559
10393,43.639060,-79.539244,30005,0.571
10393,43.639188,-79.539350,30006,0.587
10393,43.639423,-79.539546,30007,0.618
10393,43.639635,-79.539742,30008,0.646
10393,43.640068,-79.540270,30009,0.710
10393,43.640146,-79.540336,30010,0.720
10393,43.640230,-79.540381,30011,0.730
10393,43.640383,-79.540446,30012,0.748
10393,43.640452,-79.540469,30013,0.756
10393,43.640535,-79.540527,30014,0.766
10393,43.640661,-79.540634,30015,0.783
10393,43.640706,-79.540405,30016,0.802
10393,43.640912,-79.539563,30017,0.874
